用户ID,行为时间,商品ID,行为类型,流量来源,设备类型
user_4837,2024-09-17 12:34:01,item_349,加购,活动,电脑
user_1472,2024-09-24 19:43:47,item_326,浏览,自然流量,电脑
user_3566,2024-08-04 15:07:59,item_184,浏览,广告,电脑
user_8254,2025-05-21 16:53:28,item_269,浏览,自然流量,电脑
user_5688,2024-07-28 11:55:02,item_417,收藏,活动,电脑
user_4692,2024-12-02 07:28:01,item_246,浏览,广告,平板
user_7488,2025-03-30 07:55:51,item_271,加购,广告,电脑
user_6322,2024-12-16 03:16:07,item_246,收藏,广告,手机
user_4970,2024-12-15 12:18:15,item_454,收藏,广告,电脑
user_9222,2024-08-24 01:20:36,item_284,浏览,自然流量,手机
user_1354,2025-04-09 17:09:36,item_294,浏览,广告,电脑
user_6042,2025-06-06 13:30:43,item_128,浏览,活动,平板
user_4806,2024-11-22 23:13:12,item_426,浏览,广告,手机
user_8161,2025-05-22 23:41:17,item_139,下单,活动,电脑
user_1609,2025-02-20 12:21:26,item_109,浏览,自然流量,平板
user_6745,2025-04-14 04:37:31,item_291,浏览,广告,手机
user_9298,2024-11-21 07:01:16,item_339,浏览,自然流量,平板
user_7630,2024-07-05 14:16:19,item_325,加购,活动,手机
user_618,2025-01-22 20:36:01,item_227,加购,自然流量,电脑
user_7231,2025-04-19 18:29:09,item_171,浏览,自然流量,平板
user_7186,2024-10-10 04:17:36,item_157,加购,自然流量,电脑
user_2037,2024-09-14 07:35:14,item_254,浏览,广告,手机
user_1600,2025-06-04 02:40:44,item_345,收藏,活动,平板
user_1613,2025-03-15 03:21:48,item_352,下单,活动,电脑
user_4059,2025-01-03 12:56:43,item_37,收藏,广告,电脑
user_1196,2024-12-13 05:31:27,item_306,收藏,广告,手机
user_6578,2025-04-29 07:08:23,item_137,浏览,广告,平板
user_5347,2025-06-01 12:36:25,item_447,收藏,活动,电脑
user_4164,2025-01-16 03:04:49,item_478,浏览,广告,电脑
user_2563,2024-11-06 14:00:39,item_442,浏览,活动,手机
user_8427,2024-10-29 17:39:07,item_291,收藏,活动,电脑
user_4288,2024-07-04 16:44:02,item_284,下单,广告,平板
user_5081,2025-01-06 10:57:55,item_452,下单,自然流量,平板
user_4883,2025-01-09 18:26:40,item_375,收藏,活动,平板
