订单ID,用户ID,商品ID,下单时间,数量,支付金额,支付方式,订单状态
order_1,user_3627,item_486,2024-07-21 04:55:09,3,2307.12,支付宝,已退款
order_2,user_7080,item_266,2024-08-12 13:04:41,4,3838.56,信用卡,已完成
order_3,user_3021,item_325,2024-10-11 00:31:11,4,735.36,微信,已完成
order_4,user_1593,item_36,2024-08-20 12:04:15,4,2828.24,支付宝,已完成
order_5,user_4972,item_292,2025-04-16 20:31:37,2,728.48,支付宝,已完成
order_6,user_1231,item_71,2024-12-04 21:10:02,1,859.79,微信,已退款
order_7,user_4762,item_451,2024-08-30 21:59:45,3,1119.96,支付宝,已退款
order_8,user_6915,item_425,2025-03-24 01:35:44,2,1864.44,支付宝,已完成
order_9,user_2442,item_59,2024-11-17 07:37:16,1,847.82,信用卡,已完成
order_10,user_5681,item_373,2025-01-27 13:46:57,2,919.88,信用卡,已完成
order_11,user_6497,item_98,2024-08-29 17:37:01,4,3409.08,微信,已完成
order_12,user_4383,item_419,2024-12-14 00:16:02,1,249.09,信用卡,已完成
order_13,user_4317,item_287,2024-09-29 06:34:51,3,34.71,信用卡,已退款
order_14,user_5260,item_371,2025-06-21 03:34:11,3,1362.0,信用卡,已完成
order_15,user_6370,item_89,2025-02-07 16:08:58,3,2991.48,微信,已取消
order_16,user_8,item_77,2024-07-12 10:59:23,3,1372.98,微信,已完成
order_17,user_4256,item_371,2024-08-17 10:45:19,4,3822.76,信用卡,已完成
order_18,user_5800,item_214,2024-08-04 11:24:59,3,2332.98,支付宝,已完成
order_19,user_1966,item_447,2025-04-29 20:47:25,4,697.32,支付宝,已完成
order_20,user_8394,item_252,2025-05-21 17:40:43,1,158.36,信用卡,已完成
order_21,user_4677,item_12,2025-02-27 04:07:46,1,478.44,信用卡,已完成
order_22,user_940,item_435,2025-02-19 12:01:01,4,943.12,支付宝,已完成
order_23,user_9336,item_257,2024-11-19 17:26:38,3,1274.7,信用卡,已完成
order_24,user_1646,item_149,2025-04-24 15:58:49,2,632.36,支付宝,已完成
order_25,user_8657,item_21,2024-08-26 22:01:09,3,2102.97,支付宝,已完成
order_26,user_9234,item_371,2024-07-02 17:20:01,1,315.55,支付宝,已完成
order_27,user_2133,item_455,2025-06-03 06:21:57,1,40.08,微信,已取消
order_28,user_7730,item_12,2025-01-01 18:30:52,2,1183.66,微信,已退款
order_29,user_9054,item_458,2024-07-28 00:02:16,4,1094.32,支付宝,已完成
order_30,user_3054,item_49,2024-06-29 02:49:51,4,3847.52,支付宝,已完成
order_31,user_9315,item_112,2024-06-29 10:58:52,2,399.84,支付宝,已取消
order_32,user_5949,item_478,2024-09-04 07:53:51,4,127.64,支付宝,已完成
order_33,user_6503,item_279,2025-06-21 07:52:14,3,2017.68,微信,已完成
order_34,user_5291,item_7,2024-07-31 06:30:18,3,832.08,信用卡,已完成
order_35,user_5117,item_126,2025-03-28 02:57:16,1,62.52,微信,已完成
order_36,user_4445,item_189,2025-03-06 18:27:10,4,1688.2,信用卡,已取消
order_37,user_2307,item_143,2025-02-12 05:37:05,1,591.81,信用卡,已完成
order_38,user_8691,item_264,2025-06-06 02:17:48,1,569.42,支付宝,已完成
order_39,user_8355,item_476,2024-10-14 20:13:05,4,1266.52,微信,已完成
order_40,user_7101,item_8,2024-12-05 07:07:15,1,787.81,信用卡,已完成
order_41,user_3214,item_196,2025-03-22 23:34:11,3,2692.53,微信,已完成
order_42,user_9797,item_469,2025-05-06 05:16:19,1,697.87,支付宝,已取消
order_43,user_7512,item_488,2025-04-30 07:52:02,3,2756.49,支付宝,已完成
order_44,user_3933,item_72,2025-04-22 16:27:17,4,600.8,支付宝,已完成
order_45,user_2852,item_43,2024-12-28 12:24:23,1,205.85,支付宝,已完成
order_46,user_4167,item_464,2025-03-22 12:53:45,4,3829.0,微信,已完成
order_47,user_9951,item_314,2024-08-14 22:22:18,4,2981.88,信用卡,已完成
order_48,user_5558,item_177,2024-09-14 17:12:04,1,902.47,信用卡,已退款
order_49,user_9192,item_428,2024-08-21 05:19:26,1,537.36,信用卡,已完成
order_50,user_2638,item_17,2025-03-02 03:15:23,2,1991.3,微信,已取消
order_51,user_1441,item_10,2024-10-09 21:04:59,2,220.16,支付宝,已完成
order_52,user_439,item_348,2025-01-15 19:10:17,3,1574.94,支付宝,已完成
order_53,user_5946,item_152,2024-12-18 13:51:33,4,3857.64,微信,已完成
order_54,user_9362,item_198,2024-12-03 16:03:32,3,683.79,支付宝,已完成
order_55,user_5977,item_115,2024-09-27 13:39:18,2,130.38,信用卡,已完成
