用户ID,性别,年龄,注册时间,省份,设备类型,是否会员
user_1,男,56,2024-11-03,北京,平板,1
user_2,男,46,2023-09-20,上海,手机,0
user_3,男,32,2023-07-15,四川,电脑,0
user_4,男,25,2025-01-21,北京,手机,0
user_5,男,38,2024-01-25,四川,手机,1
user_6,男,56,2024-01-02,浙江,平板,1
user_7,男,36,2023-12-16,上海,平板,1
user_8,女,40,2023-10-12,广东,手机,0
user_9,女,28,2025-01-18,北京,手机,1
user_10,男,28,2023-09-13,广东,电脑,1
user_11,男,41,2024-12-02,浙江,平板,0
user_12,女,53,2025-01-21,北京,平板,1
user_13,女,57,2025-05-18,四川,手机,0
user_14,男,41,2024-08-22,上海,电脑,0
user_15,男,20,2023-09-01,北京,电脑,1
user_16,女,39,2024-09-26,广东,手机,1
user_17,女,19,2024-05-18,上海,平板,1
user_18,男,41,2023-07-20,四川,平板,0
user_19,男,47,2023-07-19,上海,电脑,1
user_20,女,55,2023-09-06,四川,手机,1
user_21,男,19,2023-12-12,上海,手机,1
user_22,女,38,2023-12-23,广东,手机,0
user_23,女,50,2024-07-22,上海,平板,1
user_24,女,29,2024-10-05,浙江,手机,1
user_25,男,39,2023-07-16,上海,平板,1
user_26,女,42,2024-09-03,四川,电脑,1
user_27,男,44,2023-11-27,上海,平板,1
user_28,男,59,2025-01-02,北京,手机,0
user_29,男,45,2024-11-11,浙江,平板,0
user_30,女,33,2024-12-21,浙江,平板,1
user_31,女,32,2024-08-22,四川,手机,0
user_32,女,20,2024-05-16,广东,手机,1
user_33,女,54,2023-12-14,上海,电脑,0
user_34,女,24,2024-06-08,四川,手机,0
user_35,女,38,2024-09-25,四川,平板,0
user_36,男,26,2024-01-28,广东,手机,0
user_37,女,56,2025-03-15,浙江,手机,0
user_38,女,35,2025-05-01,广东,手机,0
user_39,男,21,2023-07-01,四川,手机,0
user_40,女,42,2025-02-04,北京,平板,0
user_41,男,31,2025-03-12,浙江,平板,0
user_42,女,26,2023-10-28,四川,平板,1
user_43,男,43,2024-12-19,四川,平板,0
user_44,女,19,2024-05-19,浙江,平板,1
user_45,女,37,2024-03-16,四川,电脑,0
user_46,男,45,2024-01-27,上海,手机,1
user_47,男,24,2023-10-24,四川,平板,0
user_48,男,25,2023-12-10,北京,手机,0
user_49,男,52,2025-02-08,北京,手机,1
user_50,男,31,2024-03-13,四川,手机,1
user_51,女,34,2023-09-13,上海,平板,0
user_52,女,53,2023-09-06,上海,电脑,1
user_53,男,57,2024-04-16,北京,手机,1
user_54,女,21,2023-09-09,浙江,电脑,1
user_55,男,19,2024-03-30,北京,手机,1
user_56,女,23,2025-04-14,北京,手机,0
user_57,男,59,2024-03-19,四川,电脑,0
user_58,女,21,2024-10-06,上海,电脑,1
user_59,男,46,2024-01-17,北京,电脑,0
user_60,男,35,2025-03-13,四川,手机,0
user_61,男,43,2023-07-29,上海,电脑,1
user_62,女,51,2025-01-12,上海,电脑,0
user_63,男,27,2024-06-16,浙江,手机,1
user_64,女,53,2024-08-15,浙江,电脑,1
user_65,女,31,2023-09-30,上海,手机,1
user_66,男,48,2025-06-11,北京,平板,0
user_67,女,32,2024-04-15,北京,手机,1
user_68,男,25,2023-08-26,北京,平板,0
user_69,男,31,2024-08-27,北京,平板,0
user_70,男,40,2024-02-08,浙江,手机,0
user_71,男,57,2025-03-31,四川,手机,1
user_72,女,38,2024-10-26,广东,手机,1
user_73,男,33,2024-10-18,广东,电脑,0
user_74,女,35,2025-05-13,浙江,电脑,0
user_75,男,41,2025-04-25,浙江,平板,0
user_76,男,43,2024-04-01,四川,手机,1
user_77,男,42,2024-09-16,广东,手机,0
user_78,女,58,2023-11-22,广东,手机,1
user_79,女,46,2024-12-24,四川,平板,0
user_80,女,32,2023-08-19,北京,手机,1
user_81,男,18,2023-07-31,北京,平板,0
user_82,女,42,2024-11-20,广东,平板,0
user_83,女,24,2023-12-20,上海,平板,1
user_84,女,26,2025-02-15,广东,手机,0
user_85,女,41,2024-02-05,广东,手机,0
user_86,女,18,2023-08-26,上海,平板,1
user_87,男,25,2025-04-20,浙江,平板,1
user_88,男,41,2023-12-23,北京,手机,0
user_89,男,28,2025-04-29,广东,平板,0
user_90,女,34,2023-09-12,上海,手机,1
user_91,女,25,2024-04-16,北京,电脑,0
user_92,男,52,2024-01-27,北京,电脑,1
user_93,男,52,2024-06-12,上海,手机,0
user_94,女,50,2024-10-31,北京,手机,1
user_95,女,22,2025-04-03,上海,电脑,0
user_96,男,59,2024-04-04,浙江,手机,1
user_97,男,56,2023-10-30,上海,电脑,1
user_98,女,58,2024-04-08,上海,手机,0
user_99,男,45,2024-03-27,浙江,电脑,1
user_100,男,24,2023-12-05,广东,电脑,1
user_101,女,26,2024-11-27,北京,手机,1
user_102,男,25,2024-01-19,四川,电脑,0
user_103,男,29,2024-12-22,四川,电脑,1
user_104,女,51,2025-06-22,浙江,平板,0
user_105,女,50,2024-12-07,四川,手机,1
user_106,男,40,2024-11-10,浙江,手机,0
user_107,女,41,2023-08-20,浙江,手机,1
user_108,女,54,2024-10-11,北京,平板,1
user_109,女,52,2024-10-31,浙江,电脑,1
user_110,女,57,2023-11-05,四川,手机,0
user_111,女,39,2024-08-13,浙江,平板,0
user_112,女,44,2025-01-12,浙江,平板,0
user_113,女,52,2024-01-02,广东,手机,1
user_114,女,18,2023-10-30,浙江,电脑,1
user_115,男,52,2024-06-19,四川,电脑,0
user_116,男,54,2024-04-15,广东,平板,1
user_117,男,31,2024-01-21,上海,平板,1
user_118,男,20,2025-06-13,上海,手机,0
user_119,男,18,2024-11-04,上海,电脑,0
